entity1,relations,entity2
Q431289,P279,Q167270
Q693690,P279,Q830
Q131841,P361,Q9420
Q131841,P279,Q151885
Q131841,P460,Q151885
Q938926,P279,Q838948
Q93204,P279,Q11424
Q11404,P279,Q133163
Q3947,P527,Q42948
Q3947,P527,Q35473
Q3947,P527,Q36794
Q3947,P527,Q180516
Q3947,P527,Q217164
Q3947,P527,Q234852
Q3947,P527,Q244490
Q3947,P366,Q7743
Q3947,P1889,Q7743
Q2472587,P279,Q41710
Q2472587,P460,Q6266
Q2472587,P527,Q5
Q2472587,P1889,Q41710
Q2472587,P1889,Q5
Q2472587,P1889,Q6266
Q627603,P279,Q93184
Q37260,P279,Q11024
Q37260,P366,Q11024
Q37260,P1535,Q5
Q37260,P3095,Q36180
Q9941,P1889,Q17278
Q9941,P1889,Q204
Q118157,P31,Q151885
Q7569,P279,Q5
Q7569,P1552,Q276258
Q7569,P156,Q131774
Q173253,P366,Q160402
Q173253,P1889,Q205555
Q25372,P1889,Q492537
Q150681,P527,Q623
Q8436,P279,Q178706
Q8436,P527,Q8441
Q8436,P527,Q467
Q1445650,P279,Q573
Q8003276,P31,Q5
Q8003276,P106,Q33999
Q1088,P31,Q1075
Q1088,P279,Q9128
Q2,P527,Q3230
Q2,P527,Q5107
Q2,P398,Q405
Q2,P397,Q525
Q2,P1889,Q11081619
Q2,P1889,Q36133
Q2,P460,Q16502
Q2,P461,Q527
Q2,P138,Q36133
Q25235,P527,Q7727
Q25235,P361,Q573
Q11631,P31,Q28640
Q11631,P279,Q901
Q162668,P1889,Q558363
Q3031,P279,Q7569
Q3031,P461,Q3010
Q3031,P1889,Q49835
Q15290,P461,Q15292
Q15290,P279,Q211364
Q1498271,P460,Q257022
Q467,P279,Q80994
Q467,P461,Q8441
Q467,P155,Q3031
Q16502,P31,Q151885
Q16502,P460,Q2
Q1255864,P31,Q205555
Q105674,P279,Q349
Q105674,P279,Q219067
Q107,P1552,Q4440864
Q29253,P31,Q49447
Q35874,P279,Q1149305
Q35874,P279,Q9332
Q35874,P1889,Q170579
Q35874,P31,Q483394
Q35874,P3095,Q245068
Q1090839,P279,Q989963
Q7414,P452,Q49389
Q7414,P31,Q4830453
Q7414,P355,Q127552
Q7414,P1056,Q7397
Q7414,P1830,Q127552
Q7727,P527,Q11574
Q7727,P361,Q25235
Q634,P398,Q26540
Q634,P1552,Q11423
Q634,P1552,Q39297
Q272937,P31,Q8171
Q33999,P425,Q222749
Q33999,P31,Q28640
Q11379,P1552,Q11423
Q11379,P361,Q1
Q191503,P279,Q650711
Q184485,P527,Q11639
Q184485,P527,Q638
Q184485,P527,Q1344
Q184485,P527,Q11635
Q184485,P527,Q47928
Q184485,P527,Q18342738
Q184485,P1889,Q222749
Q932586,P1056,Q11424
Q932586,P279,Q590870
Q315,P361,Q11024
Q5410500,P461,Q34302
Q5410500,P279,Q34394
Q5410500,P2579,Q34178
Q389888,P155,Q1135557
Q389888,P527,Q639669
Q2916183,P279,Q13370881
Q164359,P279,Q9081
Q164359,P1382,Q46744
Q164359,P1382,Q9081
Q309314,P1269,Q12453
Q482,P3095,Q49757
Q7949,P460,Q188572
Q7949,P461,Q4925193
Q7949,P1382,Q1530061
Q623282,P31,Q5410500
Q11024,P279,Q921513
Q4,P461,Q14819852
Q4,P461,Q3
Q4,P361,Q3
Q4,P828,Q149086
Q4,P828,Q10737
Q9174,P279,Q7257
Q9174,P279,Q49447
Q9174,P2579,Q34178
Q3230,P361,Q2
Q3230,P31,Q8104
Q3230,P376,Q2
Q29142,P279,Q83267
Q40831,P31,Q483394
Q40831,P279,Q838948
Q40831,P921,Q35874
Q40831,P3095,Q245068
Q621695,P461,Q1208425
Q54128,P31,Q28640
Q49835,P1344,Q491
Q49835,P1889,Q3031
Q6430706,P31,Q28640
Q6430706,P425,Q3059502
Q6430706,P1889,Q3059502
Q1072,P361,Q11068
Q1072,P2789,Q9609
Q1072,P703,Q729
Q8805,P31,Q151885
Q8805,P1889,Q8799
Q192630,P279,Q11471
Q192630,P156,Q193168
Q192630,P361,Q11471
Q192630,P31,Q173253
Q192630,P461,Q344
Q214339,P527,Q9332
Q214339,P527,Q2648051
Q16363,P2789,Q9633
Q11639,P279,Q184485
Q11639,P527,Q180856
Q235544,P361,Q3196
Q2728730,P279,Q9415
Q2728730,P31,Q9415
Q2728730,P1269,Q9418
Q316,P461,Q160232
Q316,P1889,Q1320124
Q316,P1889,Q474367
Q316,P279,Q1124198
Q316,P279,Q9415
Q316,P460,Q190
Q79782,P1552,Q11465
Q577,P527,Q5151
Q3,P461,Q4
Q3,P279,Q203872
Q3,P279,Q483247
Q3,P527,Q4
Q3,P1552,Q483921
Q7565,P279,Q7566
Q7565,P461,Q7560
Q177232,P461,Q308194
Q177232,P461,Q7566
Q44,P279,Q169336
Q44,P527,Q283
Q491,P279,Q223642
Q253276,P111,Q36253
Q34442,P279,Q83620
Q34442,P2670,Q177749
Q354955,P460,Q1270409
Q8171,P279,Q187931
Q295047,P460,Q418816
Q290691,P279,Q215627
Q290691,P1552,Q15292
Q7163,P1889,Q1156854
Q7163,P31,Q483394
Q173799,P366,Q208195
Q35758,P1552,Q11423
Q12823105,P279,Q180516
Q12823105,P279,Q628858
Q571,P186,Q11472
Q571,P186,Q389782
Q571,P279,Q49848
Q571,P279,Q2342494
Q571,P1552,Q482980
Q571,P366,Q199657
Q9415,P1542,Q205555
Q9415,P1889,Q205555
Q8261,P279,Q1318295
Q8261,P279,Q571
Q8261,P1889,Q149537
Q8261,P3095,Q6625963
Q7873,P361,Q11068
Q1026040,P1995,Q9418
Q309,P1269,Q192630
Q134307,P180,Q215627
Q134307,P279,Q478798
Q169251,P461,Q935526
Q169251,P461,Q8
Q169251,P279,Q9415
Q162244,P279,Q215627
Q162244,P1552,Q15290
Q8441,P279,Q80994
Q8441,P461,Q467
Q8441,P361,Q8436
Q8641,P17,Q31
Q8641,P17,Q155
Q8641,P17,Q183
Q2979,P461,Q8463
Q2979,P279,Q1347367
Q235113,P279,Q193291
Q9128,P461,Q204170
Q213062,P279,Q2095
Q735,P279,Q184872
Q735,P279,Q170658
Q735,P361,Q11042
Q735,P3095,Q483501
Q44619,P279,Q154430
Q44619,P461,Q362547
Q44619,P1889,Q1522565
Q344,P279,Q11471
Q344,P155,Q193168
Q344,P361,Q11471
Q344,P461,Q192630
Q7560,P279,Q7566
Q7560,P461,Q7565
Q46622,P279,Q269949
Q1209526,P31,Q28640
Q11042,P2579,Q132151
Q11042,P2579,Q23404
Q1367353,P31,Q9415
Q1367353,P1269,Q9418
Q1367353,P1382,Q5166129
Q1761451,P828,Q192906
Q5282225,P460,Q170028
Q37226,P425,Q8434
Q37226,P31,Q28640
Q37226,P279,Q702269
Q37226,P461,Q48282
Q157811,P461,Q1411242
Q5090,P366,Q186817
Q46721,P279,Q239872
Q46721,P1552,Q239872
Q170584,P31,Q151885
Q170584,P1552,Q4503831
Q170584,P1552,Q327245
Q9609,P2789,Q1072
Q131774,P155,Q276258
Q61509,P279,Q79782
Q188572,P461,Q3962655
Q188572,P361,Q7949
Q188572,P460,Q7949
Q188572,P1552,Q7949
Q492,P279,Q11028
Q1683540,P461,Q1503443
Q1683540,P279,Q211364
Q1683540,P1382,Q337349
Q34735,P366,Q12453
Q46158,P31,Q49447
Q165112,P527,Q34172
Q165112,P279,Q749316
Q165112,P279,Q2995529
Q7743,P279,Q41176
Q7743,P279,Q3947
Q7743,P1889,Q3947
Q7743,P460,Q2641256
Q240673,P361,Q159810
Q240673,P31,Q151885
Q79871,P461,Q15304496
Q31235,P279,Q11424
Q1195509,P1889,Q42982
Q188830,P461,Q212878
Q188830,P279,Q1196129
Q2827815,P31,Q151885
Q4340209,P461,Q185935
Q4340209,P31,Q12136
Q4340209,P780,Q9690
Q4340209,P689,Q8441
Q4340209,P689,Q467
Q28578,P279,Q775842
Q3882219,P279,Q132821
Q3882219,P1889,Q132821
Q3882219,P1889,Q149086
Q178651,P31,Q483394
Q178354,P461,Q430727
Q1313,P156,Q1314
Q1313,P461,Q1311
Q1313,P1889,Q24384
Q1313,P279,Q24384
Q177634,P1889,Q517760
Q177634,P1889,Q13430821
Q11402,P4934,Q41273
Q7272674,P31,Q11424
Q48349,P279,Q1250464
Q192620,P279,Q1862087
Q1046801,P31,Q735
Q1046801,P138,Q116434
Q182076,P279,Q3196867
Q265264,P495,Q183
Q23640,P527,Q1073
Q23640,P527,Q173253
Q23640,P527,Q9635
Q23640,P527,Q37017
Q164444,P279,Q638
Q182593,P1889,Q130741
Q193181,P279,Q160402
Q3957,P361,Q6256
Q3957,P1889,Q515
Q3957,P279,Q177634
Q3957,P3730,Q515
Q736922,P279,Q223642
Q736922,P1889,Q728646
Q573,P527,Q25235
Q573,P527,Q575
Q573,P527,Q52643
Q573,P361,Q23387
Q3010,P279,Q7569
Q3010,P461,Q3031
Q8463,P461,Q2979
Q8463,P31,Q132781
Q11425,P279,Q932586
Q11425,P3095,Q266569
Q838795,P527,Q1983062
Q1052,P462,Q3133
Q1052,P462,Q1088
Q1052,P462,Q943
Q8461,P279,Q179742
Q8461,P1269,Q7257
Q1712140,P279,Q9332
Q483501,P425,Q735
Q483501,P279,Q702269
Q16278392,P641,Q2736
Q8253,P461,Q213051
Q8253,P31,Q483394
Q213051,P461,Q8253
Q213051,P31,Q483394
Q171841,P31,Q151885
Q259059,P1382,Q8436
Q170579,P1889,Q35874
Q170579,P279,Q2844542
Q169336,P279,Q79529
Q460453,P186,Q5159627
Q269949,P279,Q34442
Q27686,P279,Q4830453
Q27686,P279,Q41176
Q606777,P1889,Q48963
Q606777,P279,Q13698
Q7860,P361,Q1
Q7860,P31,Q483247
Q267917,P279,Q999646
Q8016240,P710,Q41487
Q2976603,P31,Q151885
Q8104,P279,Q11432
Q381072,P279,Q104493
Q3236990,P279,Q215627
Q3236990,P279,Q254474
Q193432,P425,Q773944
Q193432,P1889,Q489750
Q193432,P279,Q215627
Q1153108,P279,Q41253
Q2207370,P1889,Q1144593
Q349,P3095,Q2066131
Q349,P366,Q208195
Q483110,P279,Q641226
Q48422,P1557,Q4
Q124794,P279,Q160402
Q124794,P31,Q173253
Q383185,P460,Q403915
Q1142227,P279,Q11765
Q82799,P279,Q8171
Q82799,P279,Q3695082
Q82799,P361,Q315
Q198,P461,Q454
Q198,P527,Q178561
Q1029907,P361,Q11829360
Q1029907,P2789,Q173710
Q124490,P1542,Q81938
Q124490,P1542,Q193078
Q124490,P361,Q600571
Q18609226,P31,Q35127
Q143873,P279,Q446
Q5167661,P461,Q770480
Q5167661,P1889,Q1144825
Q5167661,P31,Q151885
Q10870555,P279,Q49848
Q263668,P279,Q998840
Q263668,P366,Q35874
Q283,P1552,Q1075
Q283,P1552,Q180600
Q283,P462,Q3133
Q283,P462,Q23444
Q283,P361,Q2095
Q37017,P527,Q7363
Q37017,P527,Q7364
Q37017,P527,Q43748
Q37017,P527,Q82714
Q37017,P527,Q9635
Q37017,P527,Q41055
Q37017,P527,Q47038
Q37017,P361,Q23640
Q17070457,P31,Q11424
Q178561,P361,Q198
Q178561,P279,Q650711
Q52948,P527,Q11024
Q52948,P276,Q58778
Q11432,P279,Q102205
Q11432,P527,Q39552
Q11432,P527,Q39297
Q9165,P279,Q450
Q9165,P361,Q215627
Q446,P1419,Q17278
Q4916,P31,Q8142
Q4916,P17,Q31
Q4916,P17,Q183
Q4916,P17,Q38
Q601401,P361,Q159810
Q601401,P460,Q26643
Q2238195,P279,Q35874
Q171558,P1542,Q193078
Q171558,P1542,Q4
Q165950,P279,Q83267
Q201650,P31,Q1411242
Q654182,P1269,Q413
Q654182,P1269,Q11461
Q8434,P3095,Q37226
Q8434,P2579,Q7922
Q9081,P279,Q492
Q9081,P461,Q815577
Q9081,P1889,Q11028
Q9081,P1382,Q46744
Q9081,P1382,Q164359
Q8445,P279,Q223642
Q450,P460,Q353284
Q450,P461,Q18237
Q1549811,P279,Q157811
Q1549811,P31,Q157811
Q485446,P461,Q484954
Q1202245,P279,Q1347367
Q508291,P461,Q723897
Q508291,P1382,Q1207152
Q133279,P461,Q9645
Q1058791,P1269,Q11471
Q746628,P279,Q180516
Q746628,P279,Q656720
Q126017,P279,Q36253
Q972027,P138,Q16515017
Q972027,P31,Q371174
Q103076,P1889,Q3429919
Q578,P527,Q39911
Q578,P111,Q11471
Q578,P361,Q36507
Q8386,P279,Q79529
Q290,P1889,Q48277
Q6636,P460,Q592
Q6636,P527,Q592
Q16867887,P279,Q2995644
Q708,P462,Q42519
Q131138,P279,Q35874
Q460730,P361,Q638
Q728646,P1889,Q736922
Q46744,P279,Q1347367
Q46744,P1382,Q9081
Q46744,P1382,Q164359
Q2095,P366,Q213449
Q2095,P1552,Q485537
Q2095,P1552,Q4173974
Q82821,P361,Q11042
Q840407,P31,Q9415
Q840407,P1269,Q9418
Q840407,P1552,Q487
Q638,P279,Q735
Q638,P279,Q173799
Q638,P279,Q11461
Q638,P527,Q11461
Q638,P3095,Q486748
Q638,P3095,Q639669
Q48282,P461,Q37226
Q44426,P106,Q28389
Q44426,P106,Q214917
Q44426,P106,Q33999
Q44426,P106,Q222344
Q44426,P106,Q482980
Q44426,P31,Q5
Q44426,P27,Q183
Q44426,P737,Q38757
Q2995644,P1269,Q179289
Q165,P279,Q2221906
Q211236,P279,Q215627
Q215144,P279,Q49757
Q89,P462,Q943
Q89,P462,Q3133
Q89,P462,Q23444
Q89,P1552,Q124794
Q89,P1552,Q1075
Q632316,P279,Q5
Q632316,P1889,Q940
